ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:intval_caa001a_19	IR intensity mode 19 caa001a	gc:FloatValue	3.68506	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_20	IR intensity mode 20 caa001a	gc:FloatValue	0.40227	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_21	IR intensity mode 21 caa001a	gc:FloatValue	0.28959	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_22	IR intensity mode 22 caa001a	gc:FloatValue	0.5709	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_23	IR intensity mode 23 caa001a	gc:FloatValue	0.08463	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_24	IR intensity mode 24 caa001a	gc:FloatValue	0.03057	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_25	IR intensity mode 25 caa001a	gc:FloatValue	0.11816	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_26	IR intensity mode 26 caa001a	gc:FloatValue	0.17674	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_27	IR intensity mode 27 caa001a	gc:FloatValue	2.38735	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_28	IR intensity mode 28 caa001a	gc:FloatValue	2.39691	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_29	IR intensity mode 29 caa001a	gc:FloatValue	0.13884	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_30	IR intensity mode 30 caa001a	gc:FloatValue	1.56757	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_31	IR intensity mode 31 caa001a	gc:FloatValue	1.6134	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_32	IR intensity mode 32 caa001a	gc:FloatValue	0.18445	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_33	IR intensity mode 33 caa001a	gc:FloatValue	0.06582	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_34	IR intensity mode 34 caa001a	gc:FloatValue	0.02695	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_35	IR intensity mode 35 caa001a	gc:FloatValue	0.00431	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_36	IR intensity mode 36 caa001a	gc:FloatValue	0.38963	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_37	IR intensity mode 37 caa001a	gc:FloatValue	0.1458	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_38	IR intensity mode 38 caa001a	gc:FloatValue	0.11114	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001a_39	IR intensity mode 39 caa001a	gc:FloatValue	0.09886	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_caa001b_1	Frequency mode 1 caa001b	gc:FloatValue	10.82	gc:cm-1
ex:freqval_caa001b_2	Frequency mode 2 caa001b	gc:FloatValue	4.52	gc:cm-1
ex:freqval_caa001b_3	Frequency mode 3 caa001b	gc:FloatValue	2.21	gc:cm-1
ex:freqval_caa001b_4	Frequency mode 4 caa001b	gc:FloatValue	0.32	gc:cm-1
ex:freqval_caa001b_5	Frequency mode 5 caa001b	gc:FloatValue	10.61	gc:cm-1
ex:freqval_caa001b_6	Frequency mode 6 caa001b	gc:FloatValue	16.26	gc:cm-1
ex:freqval_caa001b_7	Frequency mode 7 caa001b	gc:FloatValue	20.77	gc:cm-1
ex:freqval_caa001b_8	Frequency mode 8 caa001b	gc:FloatValue	25.38	gc:cm-1
ex:freqval_caa001b_9	Frequency mode 9 caa001b	gc:FloatValue	45.49	gc:cm-1
