ex:peak_caa001b_5	Mode 5 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_5	ex:intval_caa001b_5
ex:peak_caa001b_6	Mode 6 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_6	ex:intval_caa001b_6
ex:peak_caa001b_7	Mode 7 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_7	ex:intval_caa001b_7
ex:peak_caa001b_8	Mode 8 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_8	ex:intval_caa001b_8
ex:peak_caa001b_9	Mode 9 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_9	ex:intval_caa001b_9
ex:peak_caa001b_10	Mode 10 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_10	ex:intval_caa001b_10
ex:peak_caa001b_11	Mode 11 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_11	ex:intval_caa001b_11
ex:peak_caa001b_12	Mode 12 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_12	ex:intval_caa001b_12
ex:peak_caa001b_13	Mode 13 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_13	ex:intval_caa001b_13
ex:peak_caa001b_14	Mode 14 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_14	ex:intval_caa001b_14
ex:peak_caa001b_15	Mode 15 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_15	ex:intval_caa001b_15
ex:peak_caa001b_16	Mode 16 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_16	ex:intval_caa001b_16
ex:peak_caa001b_17	Mode 17 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_17	ex:intval_caa001b_17
ex:peak_caa001b_18	Mode 18 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_18	ex:intval_caa001b_18
ex:peak_caa001b_19	Mode 19 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_19	ex:intval_caa001b_19
ex:peak_caa001b_20	Mode 20 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_20	ex:intval_caa001b_20
ex:peak_caa001b_21	Mode 21 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_21	ex:intval_caa001b_21
ex:peak_caa001b_22	Mode 22 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_22	ex:intval_caa001b_22
ex:peak_caa001b_23	Mode 23 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_23	ex:intval_caa001b_23
ex:peak_caa001b_24	Mode 24 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_24	ex:intval_caa001b_24
ex:peak_caa001b_25	Mode 25 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_25	ex:intval_caa001b_25
ex:peak_caa001b_26	Mode 26 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_26	ex:intval_caa001b_26
ex:peak_caa001b_27	Mode 27 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_27	ex:intval_caa001b_27
ex:peak_caa001b_28	Mode 28 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_28	ex:intval_caa001b_28
ex:peak_caa001b_29	Mode 29 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_29	ex:intval_caa001b_29
ex:peak_caa001b_30	Mode 30 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_30	ex:intval_caa001b_30
ex:peak_caa001b_31	Mode 31 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_31	ex:intval_caa001b_31
ex:peak_caa001b_32	Mode 32 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_32	ex:intval_caa001b_32
ex:peak_caa001b_33	Mode 33 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_33	ex:intval_caa001b_33
ex:peak_caa001b_34	Mode 34 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_34	ex:intval_caa001b_34
ex:peak_caa001b_35	Mode 35 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_35	ex:intval_caa001b_35
ex:peak_caa001b_36	Mode 36 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_36	ex:intval_caa001b_36
ex:peak_caa001b_37	Mode 37 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_37	ex:intval_caa001b_37
ex:peak_caa001b_38	Mode 38 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_38	ex:intval_caa001b_38
ex:peak_caa001b_39	Mode 39 caa001b	gc:FrequencyPeak	ex:freqval_caa001b_39	ex:intval_caa001b_39
ex:peak_caa002_1	Mode 1 caa002	gc:FrequencyPeak	ex:freqval_caa002_1	ex:intval_caa002_1
ex:peak_caa002_2	Mode 2 caa002	gc:FrequencyPeak	ex:freqval_caa002_2	ex:intval_caa002_2
ex:peak_caa002_3	Mode 3 caa002	gc:FrequencyPeak	ex:freqval_caa002_3	ex:intval_caa002_3
ex:peak_caa002_4	Mode 4 caa002	gc:FrequencyPeak	ex:freqval_caa002_4	ex:intval_caa002_4
ex:peak_caa002_5	Mode 5 caa002	gc:FrequencyPeak	ex:freqval_caa002_5	ex:intval_caa002_5
ex:peak_caa002_6	Mode 6 caa002	gc:FrequencyPeak	ex:freqval_caa002_6	ex:intval_caa002_6
ex:peak_caa002_7	Mode 7 caa002	gc:FrequencyPeak	ex:freqval_caa002_7	ex:intval_caa002_7
ex:peak_caa002_8	Mode 8 caa002	gc:FrequencyPeak	ex:freqval_caa002_8	ex:intval_caa002_8
ex:peak_caa002_9	Mode 9 caa002	gc:FrequencyPeak	ex:freqval_caa002_9	ex:intval_caa002_9
ex:peak_caa002_10	Mode 10 caa002	gc:FrequencyPeak	ex:freqval_caa002_10	ex:intval_caa002_10
ex:peak_caa002_11	Mode 11 caa002	gc:FrequencyPeak	ex:freqval_caa002_11	ex:intval_caa002_11
ex:peak_caa002_12	Mode 12 caa002	gc:FrequencyPeak	ex:freqval_caa002_12	ex:intval_caa002_12
ex:peak_caa002_13	Mode 13 caa002	gc:FrequencyPeak	ex:freqval_caa002_13	ex:intval_caa002_13
ex:peak_caa002_14	Mode 14 caa002	gc:FrequencyPeak	ex:freqval_caa002_14	ex:intval_caa002_14
ex:peak_caa002_15	Mode 15 caa002	gc:FrequencyPeak	ex:freqval_caa002_15	ex:intval_caa002_15
ex:peak_caa002_16	Mode 16 caa002	gc:FrequencyPeak	ex:freqval_caa002_16	ex:intval_caa002_16
ex:peak_caa002_17	Mode 17 caa002	gc:FrequencyPeak	ex:freqval_caa002_17	ex:intval_caa002_17
ex:peak_caa002_18	Mode 18 caa002	gc:FrequencyPeak	ex:freqval_caa002_18	ex:intval_caa002_18
ex:peak_caa002_19	Mode 19 caa002	gc:FrequencyPeak	ex:freqval_caa002_19	ex:intval_caa002_19
