ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_caa005bTSaIRCf_38	Path point 38 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	38	ex:pathenergy_caa005bTSaIRCf_38
ex:pathpoint_caa005bTSaIRCf_39	Path point 39 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	39	ex:pathenergy_caa005bTSaIRCf_39
ex:pathpoint_caa005bTSaIRCf_40	Path point 40 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	40	ex:pathenergy_caa005bTSaIRCf_40
ex:pathpoint_caa005bTSaIRCf_41	Path point 41 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	41	ex:pathenergy_caa005bTSaIRCf_41
ex:pathpoint_caa005bTSaIRCf_42	Path point 42 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	42	ex:pathenergy_caa005bTSaIRCf_42
ex:pathpoint_caa005bTSaIRCf_43	Path point 43 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	43	ex:pathenergy_caa005bTSaIRCf_43
ex:pathpoint_caa005bTSaIRCf_44	Path point 44 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	44	ex:pathenergy_caa005bTSaIRCf_44
ex:pathpoint_caa005bTSaIRCf_45	Path point 45 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	45	ex:pathenergy_caa005bTSaIRCf_45
ex:pathpoint_caa005bTSaIRCf_46	Path point 46 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	46	ex:pathenergy_caa005bTSaIRCf_46
ex:pathpoint_caa005bTSaIRCf_47	Path point 47 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	47	ex:pathenergy_caa005bTSaIRCf_47
ex:pathpoint_caa005bTSaIRCf_48	Path point 48 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	48	ex:pathenergy_caa005bTSaIRCf_48
ex:pathpoint_caa005bTSaIRCf_49	Path point 49 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	49	ex:pathenergy_caa005bTSaIRCf_49
ex:pathpoint_caa005bTSaIRCf_50	Path point 50 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	50	ex:pathenergy_caa005bTSaIRCf_50
ex:pathpoint_caa005bTSaIRCf_51	Path point 51 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	51	ex:pathenergy_caa005bTSaIRCf_51
ex:pathpoint_caa005bTSaIRCf_52	Path point 52 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	52	ex:pathenergy_caa005bTSaIRCf_52
ex:pathpoint_caa005bTSaIRCf_53	Path point 53 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	53	ex:pathenergy_caa005bTSaIRCf_53
ex:pathpoint_caa005bTSaIRCf_54	Path point 54 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	54	ex:pathenergy_caa005bTSaIRCf_54
ex:pathpoint_caa005bTSaIRCf_55	Path point 55 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	55	ex:pathenergy_caa005bTSaIRCf_55
ex:pathpoint_caa005bTSaIRCf_56	Path point 56 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	56	ex:pathenergy_caa005bTSaIRCf_56
ex:pathpoint_caa005bTSaIRCf_57	Path point 57 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	57	ex:pathenergy_caa005bTSaIRCf_57
ex:pathpoint_caa005bTSaIRCf_58	Path point 58 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	58	ex:pathenergy_caa005bTSaIRCf_58
ex:pathpoint_caa005bTSaIRCf_59	Path point 59 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	59	ex:pathenergy_caa005bTSaIRCf_59
ex:pathpoint_caa005bTSaIRCf_60	Path point 60 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	60	ex:pathenergy_caa005bTSaIRCf_60
ex:pathpoint_caa005bTSaIRCf_61	Path point 61 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	61	ex:pathenergy_caa005bTSaIRCf_61
ex:pathpoint_caa005bTSaIRCf_62	Path point 62 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	62	ex:pathenergy_caa005bTSaIRCf_62
ex:pathpoint_caa005bTSaIRCf_63	Path point 63 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	63	ex:pathenergy_caa005bTSaIRCf_63
ex:pathpoint_caa005bTSaIRCf_64	Path point 64 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	64	ex:pathenergy_caa005bTSaIRCf_64
ex:pathpoint_caa005bTSaIRCf_65	Path point 65 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	65	ex:pathenergy_caa005bTSaIRCf_65
ex:pathpoint_caa005bTSaIRCf_66	Path point 66 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	66	ex:pathenergy_caa005bTSaIRCf_66
ex:pathpoint_caa005bTSaIRCf_67	Path point 67 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	67	ex:pathenergy_caa005bTSaIRCf_67
