ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:file_caa002d_log	Output log caa002d	ex:LogFile			ex:exp_caa002d	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa002d.log	b83b194261e3a26718a16e4d48cc675f8ccfe524a4f3536be1238ea722815fc9						
													
ex:exp_caa002e	Vibrational analysis caa002e	gc:VibrationalAnalysis	ex:file_caa002e_inp	ex:file_caa002e_dat|ex:file_caa002e_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa002e_inp	Input file caa002e	ex:InputFile			ex:exp_caa002d	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa002e.inp	389fa86f63bedc9acb13c32c8ccc39638b7360e51ea3ea964a9dc351a10b1fcd						
ex:file_caa002e_dat	Output data caa002e	ex:DataFile			ex:exp_caa002e								
ex:file_caa002e_log	Output log caa002e	ex:LogFile			ex:exp_caa002e	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa002e.log	6daf258a561214b8b3ec8b5955652c645ba21eec41c2bddc1915f9fb230b19b1						
													
ex:exp_caa003a	Vibrational analysis caa003a	gc:VibrationalAnalysis	ex:file_caa003a_inp	ex:file_caa003a_dat|ex:file_caa003a_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa003a_inp	Input file caa003a	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa003a.inp	8c4a253bf537e6b8f1a9c5640c09c0524adc3ff53b2b18c946f7051f409f96b8						
ex:file_caa003a_dat	Output data caa003a	ex:DataFile			ex:exp_caa003a								
ex:file_caa003a_log	Output log caa003a	ex:LogFile			ex:exp_caa003a	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa003a.log	19ccd07570e29e4e1925f4ba1ce89adce81fe61465cbeb99e2b0bd71abde5d4b						
													
ex:exp_caa003b	Vibrational analysis caa003b	gc:VibrationalAnalysis	ex:file_caa003b_inp	ex:file_caa003b_dat|ex:file_caa003b_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
