ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	I gc:hasFloatValue	I gc:hasUnit
ex:intval_rem01b_6	IR intensity mode 6 rem01b	gc:FloatValue	0.09029	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_7	IR intensity mode 7 rem01b	gc:FloatValue	0.07099	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_8	IR intensity mode 8 rem01b	gc:FloatValue	0.09886	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_9	IR intensity mode 9 rem01b	gc:FloatValue	0.15277	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_10	IR intensity mode 10 rem01b	gc:FloatValue	0.41706	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_11	IR intensity mode 11 rem01b	gc:FloatValue	4.22018	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_12	IR intensity mode 12 rem01b	gc:FloatValue	0.58036	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_13	IR intensity mode 13 rem01b	gc:FloatValue	0.19363	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_14	IR intensity mode 14 rem01b	gc:FloatValue	0.5009	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_15	IR intensity mode 15 rem01b	gc:FloatValue	0.47524	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_16	IR intensity mode 16 rem01b	gc:FloatValue	0.15285	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_17	IR intensity mode 17 rem01b	gc:FloatValue	0.75907	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_18	IR intensity mode 18 rem01b	gc:FloatValue	1.87619	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_19	IR intensity mode 19 rem01b	gc:FloatValue	0.14689	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_20	IR intensity mode 20 rem01b	gc:FloatValue	0.67225	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_21	IR intensity mode 21 rem01b	gc:FloatValue	1.31594	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_22	IR intensity mode 22 rem01b	gc:FloatValue	0.81936	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_rem01b_23	IR intensity mode 23 rem01b	gc:FloatValue	0.4296	gc:debyeSquaredPerAmuAngstromSquared
