ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:file_aa001d-smd_inp	Input file aa001d-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001d-smd.inp	a2a9cc8f78a2b4d8029aa3f355ebc0d41caaf3ef5132493649a72c88bceb048d						
ex:file_aa001d-smd_dat	Output data aa001d-smd	ex:DataFile			ex:exp_aa001d-smd								
ex:file_aa001d-smd_log	Output log aa001d-smd	ex:LogFile			ex:exp_aa001d-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001d-smd.log	0c5933fd5e716db18b0b439ee8023a24f8db64b8e6f48595512f50b794e7dd11						
													
ex:exp_aa001d	Saddle point aa001d	gc:SaddlePoint	ex:file_aa001d_inp	ex:file_aa001d_dat|ex:file_aa001d_log				wB97X-D	6-21G+(d,p)	water	PCM	SADPOINT	true
ex:file_aa001d_inp	Input file aa001d	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001d.inp	526750c6c68dd079363f2a2e3ec6cb8a715ee053407a56473b58cb79b8cfd8c2						
ex:file_aa001d_dat	Output data aa001d	ex:DataFile			ex:exp_aa001d								
ex:file_aa001d_log	Output log aa001d	ex:LogFile			ex:exp_aa001d	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001d.log	44a890c2447cdb74d6ac793acc9a3439c7676bb590c9479e6fd6509b9eac2fd2						
													
ex:exp_aa001e	IRC (forward) aa001e	gc:IRC	ex:file_aa001e_inp	ex:file_aa001e_dat|ex:file_aa001e_log				wB97X-D	6-21G+(d,p)	water	PCM	IRC	
ex:file_aa001e_inp	Input file aa001e	ex:InputFile			ex:exp_aa001d	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001e.inp	34ef548241eb2d0a916807bc196786d5af8a31f5e263e5e68289a76797f302d2						
ex:file_aa001e_dat	Output data aa001e	ex:DataFile			ex:exp_aa001e								
ex:file_aa001e_log	Output log aa001e	ex:LogFile			ex:exp_aa001e	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001e.log	c816ff90e312d6d946533a7eed526ddb197eb8cd42d5e4e0b5281545773438b1						
													
ex:exp_aa001f	IRC (backward) aa001f	gc:IRC	ex:file_aa001f_inp	ex:file_aa001f_dat|ex:file_aa001f_log				wB97X-D	6-21G+(d,p)	water	PCM	IRC	
ex:file_aa001f_inp	Input file aa001f	ex:InputFile			ex:exp_aa001e	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001f.inp	7a9f680bd48ec5b218bb709ba5945673e6dcadd6d42e49f253a032910dac372d						
ex:file_aa001f_dat	Output data aa001f	ex:DataFile			ex:exp_aa001f								
ex:file_aa001f_log	Output log aa001f	ex:LogFile			ex:exp_aa001f	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001f.log	4d0b428a5f482745265a1ca5294351dd878a4ba58d1054be551f90950988c6d7						
													
ex:exp_aa001g-pcseg2	Single point aa001g-pcseg2	gc:SinglePoint	ex:file_aa001g-pcseg2_inp	ex:file_aa001g-pcseg2_dat|ex:file_aa001g-pcseg2_log				wB97X-D	PCSEG-2	water	PCM	ENERGY	
ex:file_aa001g-pcseg2_inp	Input file aa001g-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001g-pcseg2.inp	ce9f446cadbb7ee4b1d9b592f5f2e4be2d237e6b298ef6e8d53603a86b3280fd						
ex:file_aa001g-pcseg2_dat	Output data aa001g-pcseg2	ex:DataFile			ex:exp_aa001g-pcseg2								
ex:file_aa001g-pcseg2_log	Output log aa001g-pcseg2	ex:LogFile			ex:exp_aa001g-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001g-pcseg2.log	5548860b7fc70cccc943edf065b7202f7427dd79847b0b0b41bedb7453752ae3						
													
ex:exp_aa001g-smd-pcseg2	Single point aa001g-smd-pcseg2	gc:SinglePoint	ex:file_aa001g-smd-pcseg2_inp	ex:file_aa001g-smd-pcseg2_dat|ex:file_aa001g-smd-pcseg2_log				wB97X-D	PCSEG-2	water	SMD	ENERGY	
ex:file_aa001g-smd-pcseg2_inp	Input file aa001g-smd-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001g-smd-pcseg2.inp	785be705d18fab1a0608d1c07d3cf6b406e00412382e7308328e497614727fc6						
ex:file_aa001g-smd-pcseg2_dat	Output data aa001g-smd-pcseg2	ex:DataFile			ex:exp_aa001g-smd-pcseg2								
ex:file_aa001g-smd-pcseg2_log	Output log aa001g-smd-pcseg2	ex:LogFile			ex:exp_aa001g-smd-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001g-smd-pcseg2.log	b4d748fe4f1e126a743ce471e3c6612f4c5e464fb4229acb25ca79faa94c5e65						
													
ex:exp_aa001g-smd	Vibrational analysis aa001g-smd	gc:VibrationalAnalysis	ex:file_aa001g-smd_inp	ex:file_aa001g-smd_dat|ex:file_aa001g-smd_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa001g-smd_inp	Input file aa001g-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001g-smd.inp	baafafdfc48f1af8c6bd4a44ff06cc4014fbdb1ff988d494040f0448a6418b74						
ex:file_aa001g-smd_dat	Output data aa001g-smd	ex:DataFile			ex:exp_aa001g-smd								
ex:file_aa001g-smd_log	Output log aa001g-smd	ex:LogFile			ex:exp_aa001g-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001g-smd.log	d57f262c614eb2812054c6728f4e2f85ab82034f06ccb48b3f6eb34ea86d1218						
													
ex:exp_aa001g	Vibrational analysis aa001g	gc:VibrationalAnalysis	ex:file_aa001g_inp	ex:file_aa001g_dat|ex:file_aa001g_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa001g_inp	Input file aa001g	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001g.inp	f276b130778d55085eb2841462a199907e6be8c21d62d290a09c14b9894733fa						
ex:file_aa001g_dat	Output data aa001g	ex:DataFile			ex:exp_aa001g								
ex:file_aa001g_log	Output log aa001g	ex:LogFile			ex:exp_aa001g	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001g.log	4a0b2a8665432996dc35323890ad83902780d2c591f7104917cc3abe448ef941						
													
ex:exp_aa001h-pcseg2	Single point aa001h-pcseg2	gc:SinglePoint	ex:file_aa001h-pcseg2_inp	ex:file_aa001h-pcseg2_dat|ex:file_aa001h-pcseg2_log				wB97X-D	PCSEG-2	water	PCM	ENERGY	
ex:file_aa001h-pcseg2_inp	Input file aa001h-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001h-pcseg2.inp	96486581bcfecb024a503fa3217fbd79be1ab07bb7b4fe9a14a5dc9534a119e9						
ex:file_aa001h-pcseg2_dat	Output data aa001h-pcseg2	ex:DataFile			ex:exp_aa001h-pcseg2								
ex:file_aa001h-pcseg2_log	Output log aa001h-pcseg2	ex:LogFile			ex:exp_aa001h-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001h-pcseg2.log	83ebba7fbead2a603817f195649a27e101f134628d367554f9b726b89cdd132d						
													
