ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_aa001e_51	Path point 51 (backward) aa001e	gc:ReactionPathPoint	51	ex:pathenergy_aa001e_51
ex:pathpoint_aa001e_52	Path point 52 (backward) aa001e	gc:ReactionPathPoint	52	ex:pathenergy_aa001e_52
ex:pathpoint_aa001e_53	Path point 53 (backward) aa001e	gc:ReactionPathPoint	53	ex:pathenergy_aa001e_53
ex:pathpoint_aa001e_54	Path point 54 (backward) aa001e	gc:ReactionPathPoint	54	ex:pathenergy_aa001e_54
ex:pathpoint_aa001e_55	Path point 55 (backward) aa001e	gc:ReactionPathPoint	55	ex:pathenergy_aa001e_55
ex:pathpoint_aa001e_56	Path point 56 (backward) aa001e	gc:ReactionPathPoint	56	ex:pathenergy_aa001e_56
ex:pathpoint_aa001e_57	Path point 57 (backward) aa001e	gc:ReactionPathPoint	57	ex:pathenergy_aa001e_57
ex:pathpoint_aa001e_58	Path point 58 (backward) aa001e	gc:ReactionPathPoint	58	ex:pathenergy_aa001e_58
ex:pathpoint_aa001e_59	Path point 59 (backward) aa001e	gc:ReactionPathPoint	59	ex:pathenergy_aa001e_59
ex:pathpoint_aa001e_60	Path point 60 (backward) aa001e	gc:ReactionPathPoint	60	ex:pathenergy_aa001e_60
ex:pathpoint_aa001e_61	Path point 61 (backward) aa001e	gc:ReactionPathPoint	61	ex:pathenergy_aa001e_61
ex:pathpoint_aa001e_62	Path point 62 (backward) aa001e	gc:ReactionPathPoint	62	ex:pathenergy_aa001e_62
ex:pathpoint_aa001e_63	Path point 63 (backward) aa001e	gc:ReactionPathPoint	63	ex:pathenergy_aa001e_63
ex:pathpoint_aa001e_64	Path point 64 (backward) aa001e	gc:ReactionPathPoint	64	ex:pathenergy_aa001e_64
ex:pathpoint_aa001e_65	Path point 65 (backward) aa001e	gc:ReactionPathPoint	65	ex:pathenergy_aa001e_65
ex:pathpoint_aa001e_66	Path point 66 (backward) aa001e	gc:ReactionPathPoint	66	ex:pathenergy_aa001e_66
ex:pathpoint_aa001e_67	Path point 67 (backward) aa001e	gc:ReactionPathPoint	67	ex:pathenergy_aa001e_67
ex:pathpoint_aa001e_68	Path point 68 (backward) aa001e	gc:ReactionPathPoint	68	ex:pathenergy_aa001e_68
ex:pathpoint_aa001e_69	Path point 69 (backward) aa001e	gc:ReactionPathPoint	69	ex:pathenergy_aa001e_69
ex:pathpoint_aa001e_70	Path point 70 (backward) aa001e	gc:ReactionPathPoint	70	ex:pathenergy_aa001e_70
ex:pathpoint_aa001e_71	Path point 71 (backward) aa001e	gc:ReactionPathPoint	71	ex:pathenergy_aa001e_71
ex:pathpoint_aa001e_72	Path point 72 (backward) aa001e	gc:ReactionPathPoint	72	ex:pathenergy_aa001e_72
ex:pathpoint_aa001e_73	Path point 73 (backward) aa001e	gc:ReactionPathPoint	73	ex:pathenergy_aa001e_73
ex:pathpoint_aa001e_74	Path point 74 (backward) aa001e	gc:ReactionPathPoint	74	ex:pathenergy_aa001e_74
ex:pathpoint_aa001e_75	Path point 75 (backward) aa001e	gc:ReactionPathPoint	75	ex:pathenergy_aa001e_75
ex:pathpoint_aa001e_76	Path point 76 (backward) aa001e	gc:ReactionPathPoint	76	ex:pathenergy_aa001e_76
ex:pathpoint_aa001e_77	Path point 77 (backward) aa001e	gc:ReactionPathPoint	77	ex:pathenergy_aa001e_77
ex:pathpoint_aa001e_78	Path point 78 (backward) aa001e	gc:ReactionPathPoint	78	ex:pathenergy_aa001e_78
ex:pathpoint_aa001e_79	Path point 79 (backward) aa001e	gc:ReactionPathPoint	79	ex:pathenergy_aa001e_79
ex:pathpoint_aa001e_80	Path point 80 (backward) aa001e	gc:ReactionPathPoint	80	ex:pathenergy_aa001e_80
ex:pathpoint_aa001e_81	Path point 81 (backward) aa001e	gc:ReactionPathPoint	81	ex:pathenergy_aa001e_81
ex:pathpoint_aa001e_82	Path point 82 (backward) aa001e	gc:ReactionPathPoint	82	ex:pathenergy_aa001e_82
ex:pathpoint_aa001e_83	Path point 83 (backward) aa001e	gc:ReactionPathPoint	83	ex:pathenergy_aa001e_83
ex:pathpoint_aa001e_84	Path point 84 (backward) aa001e	gc:ReactionPathPoint	84	ex:pathenergy_aa001e_84
ex:pathpoint_aa001e_85	Path point 85 (backward) aa001e	gc:ReactionPathPoint	85	ex:pathenergy_aa001e_85
ex:pathpoint_aa001e_86	Path point 86 (backward) aa001e	gc:ReactionPathPoint	86	ex:pathenergy_aa001e_86
ex:pathpoint_aa001e_87	Path point 87 (backward) aa001e	gc:ReactionPathPoint	87	ex:pathenergy_aa001e_87
ex:pathpoint_aa001e_88	Path point 88 (backward) aa001e	gc:ReactionPathPoint	88	ex:pathenergy_aa001e_88
ex:pathpoint_aa001e_89	Path point 89 (backward) aa001e	gc:ReactionPathPoint	89	ex:pathenergy_aa001e_89
ex:pathpoint_aa001e_90	Path point 90 (backward) aa001e	gc:ReactionPathPoint	90	ex:pathenergy_aa001e_90
ex:pathpoint_aa001e_91	Path point 91 (backward) aa001e	gc:ReactionPathPoint	91	ex:pathenergy_aa001e_91
ex:pathpoint_aa001e_92	Path point 92 (backward) aa001e	gc:ReactionPathPoint	92	ex:pathenergy_aa001e_92
ex:pathpoint_aa001e_93	Path point 93 (backward) aa001e	gc:ReactionPathPoint	93	ex:pathenergy_aa001e_93
ex:pathpoint_aa001e_94	Path point 94 (backward) aa001e	gc:ReactionPathPoint	94	ex:pathenergy_aa001e_94
ex:pathpoint_aa001e_95	Path point 95 (backward) aa001e	gc:ReactionPathPoint	95	ex:pathenergy_aa001e_95
ex:pathpoint_aa001e_96	Path point 96 (backward) aa001e	gc:ReactionPathPoint	96	ex:pathenergy_aa001e_96
ex:pathpoint_aa001e_97	Path point 97 (backward) aa001e	gc:ReactionPathPoint	97	ex:pathenergy_aa001e_97
ex:pathpoint_aa001e_98	Path point 98 (backward) aa001e	gc:ReactionPathPoint	98	ex:pathenergy_aa001e_98
ex:pathpoint_aa001e_99	Path point 99 (backward) aa001e	gc:ReactionPathPoint	99	ex:pathenergy_aa001e_99
ex:pathpoint_aa001e_100	Path point 100 (backward) aa001e	gc:ReactionPathPoint	100	ex:pathenergy_aa001e_100
ex:pathpoint_aa001e_101	Path point 101 (backward) aa001e	gc:ReactionPathPoint	101	ex:pathenergy_aa001e_101
